模块,文件路径,行号,审计维度,问题类型,优先级,置信度,问题描述,代码证据,影响,建议方案,可复用抽象,工作量估算,是否需后端配合,状态,来源批次
资金表单,src/views/fund/otherIncome/form.vue; src/views/fund/otherExpense/form.vue; src/views/fund/payment/form.vue; src/views/fund/transfer/form.vue; src/views/fund/writeOff/form.vue,150;150;142;142;169,LOGIC,提交成功但实际未调用任何保存 API,P0,高,五个资金表单都会构造 submitData、弹出‘创建/更新成功’，随后关闭弹窗并刷新列表，但代码里没有真正调用 create/update API；而对应 API 已在 src/api/fund/*.ts 中存在,form.vue 中只有 const submitData = {...}; message(...成功); emit('success')；对应 createOtherIncomeApi/createOtherExpenseApi/createPaymentOrderApi/createTransferApi/createWriteOffApi 已存在,用户会看到成功提示但数据根本没落库，属于核心业务假成功，极易造成财务数据丢失和误操作,逐表单接入对应 create/update API，并用返回结果决定提示与刷新；补充失败态和回填逻辑,useFundSubmit / useFundDialogSubmit,大,否,已实施待验证,2026-03-06_14-30-06-project-audit-second-pass.csv
路由初始化,src/router/utils/cache.ts,36,LOGIC,initRouter 在接口失败时可能永远挂起,P0,高,new Promise(resolve => ...) 中只有 then 没有 reject/catch；getAsyncRoutes 失败时导航既不 resolve 也不 reject,return new Promise(resolve => { getAsyncRoutes().then(...) }),首次进站或刷新时一旦路由接口失败，导航守卫可能卡死白屏,直接返回 async 链或补 reject/catch，确保失败能回退登录页,,小,否,已实施待验证,2026-03-06_14-22-37-project-audit.csv
HTTP,src/utils/http/index.ts,117,LOGIC,刷新队列逻辑存在并行双实现,P1,高,http/index.ts 内嵌了完整 refresh/cookie-auth 队列，同时 src/utils/http/interceptors 下又维护一套拦截器实现,src/utils/http/index.ts + src/utils/http/interceptors/auth.ts + cookie-auth.ts,后续修复易发生只改一套导致行为分裂,收敛为单一拦截器实现并删除旁路逻辑,统一 HTTP interceptor stack,中,否,已实施待验证,2026-03-06_14-22-37-project-audit.csv
HTTP,src/utils/http/index.ts,146,TYPE,ts-expect-error 掩盖核心请求配置不匹配,P1,高,请求拦截器依赖 @ts-expect-error 才能通过编译，PureHttpRequestConfig 与 Axios 内部配置已漂移,// @ts-expect-error PureHttpRequestConfig extends InternalAxiosRequestConfig...,HTTP 热路径失去类型保护，Axios 升级后更易引入静默回归,对齐拦截器入参类型，移除压制注释,统一 InternalAxiosRequestConfig 适配层,中,否,已实施待验证,2026-03-06_14-22-37-project-audit.csv
OAuth,src/views/login/composables/useLoginForm.ts,106,AUTH,GitHub OAuth postMessage 未校验来源,P1,高,popup 回调需校验同源 origin 且 source 必须为 popup 并对消息 payload 做严格解析,useLoginForm.ts handleMessage 校验 event.origin 与 event.source 且 parseGithubLoginMessage 仅接受 accessToken 或 error 字符串,任意能向窗口 postMessage 的页面都可能伪造 OAuth 成功消息,校验消息来源域名与 popup 引用，再接受登录结果,,中,是,已实施待验证,2026-03-06_14-22-37-project-audit.csv
业务订单,src/views/business/order/form.vue,124,TYPE,明细字段反复 unknown 强转,P1,高,表单校验与 onAdd 依赖 unknown -> details 数组断言，编译器无法保证 details 存在且元素合法,newFormInline.value as unknown as { details?: unknown[] },明细缺失或结构异常时只能靠运行期兜底，难以及早发现回归,给 newFormInline 定义稳定表单模型并显式声明 details 字段,,中,否,已实施待验证,2026-03-06_14-22-37-project-audit.csv
付款单,src/views/fund/payment/form.vue,68;109;142;351,LOGIC,付款单明细编辑混用了“元/分”两套金额单位,P1,高,PaymentDetailItem 注释声明 payableAmount/writeOffAmount 以分为单位；编辑态直接把 props.editData.details 原样塞入 formData.details；模板里却用 el-input-number + precision=2 按元编辑；提交时只把 writeOffAmount *100，payableAmount 不转换,types.ts: payableAmount/writeOffAmount 注释为分；form.vue: details: props.editData.details || []; 输入框 v-model=row.payableAmount / row.writeOffAmount；提交时 details.map 仅转换 writeOffAmount,一旦资金表单接入真实提交，明细金额可能出现 100 倍错位；当前预付金额/核销合计显示也容易与输入语义不一致,统一付款单明细在表单层的金额单位：全部按元编辑并在提交前整体转分，或全部按分存储并禁用小数输入,,中,否,已实施待验证,2026-03-06_14-35-21-project-audit-third-pass.csv;2026-03-06_14-35-42-project-audit-third-pass.csv;2026-03-06_14-43-17-project-audit-fourth-pass.csv
公司状态,src/store/modules/company.ts,40,TYPE,接口返回结构被强制假定为数组,P1,高,handleCurrentCompany 直接把 res.data 断言为数组并读取 length / 索引,const data = res.data as Array<{ uid: string; name: string }>; if (data.length === 0),后端返回结构漂移时直接运行时崩溃,为 getCurrentCompanyApi 定义真实返回类型并增加 shape guard,,小,否,已实施待验证,2026-03-06_14-22-37-project-audit.csv
分页抽象,src/composables/usePageState.ts; src/composables/useOrderListPage.ts,180;176,LOGIC,抽象层维护 pageSize 但请求从未透传,P1,高,"usePageState.fetchData(api(page, queryParams)) 与 useOrderListPage.listApi(currentPage, searchForm) 都没有 pageSize 参数",pagination.pageSize 存在，但 API 调用不带 size,界面支持切页容量却无法真正影响数据结果，形成伪分页,把 pageSize 纳入抽象 API 合约，或移除无效容量控件,统一分页请求协议,中,否,已实施待验证,2026-03-06_14-22-37-project-audit.csv
动态路由,src/router/utils/dynamic.ts,150,LOGIC,动态路由同时写 router.options 与 router 实例,P1,高,每条动态路由既 push 到 router.options.routes[0].children，又调用 router.addRoute，并重新 add 根路由,router.options.routes[0]?.children?.push(v); ... router.addRoute(v);,路由状态出现双事实来源，调试和缓存行为更脆弱,选择单一注册源，并由该源派生菜单/缓存状态,,中,否,已实施待验证,2026-03-06_14-22-37-project-audit.csv
导入导出页,src/views/data/importExport/index.vue,73;84;164;196;246,LOGIC,UI 暴露的导入/导出模块与实际支持矩阵不一致,P1,高,页面下拉暴露 repo/employee/customerBalance/supplierBalance 等模块，但 toToolType 只映射 tire/customer/provider/initialStock；模板下载、导入、导出都会对这些模块直接报‘暂不支持’,toToolType 仅 4 项；moduleOptions 却展示 8 项；handleDownloadTemplate/handleUpload/handleExport 都依赖 toToolType,用户能选到不可执行模块，形成伪能力与错误操作路径，也增加测试和实施成本,要么补全映射和后端工具类型，要么只展示当前真正支持的模块,,中,是,后端部分支持待契约对齐,2026-03-06_14-42-51-project-audit-expanded-pass.csv;2026-03-06_14-43-17-project-audit-fourth-pass.csv
导出弹窗,src/components/ImportExport/ExportDialog.vue,45;70,LOGIC,异步导出会丢失 selectedIds 过滤条件,P1,高,同步导出会把 props.selectedIds 传给 exportDataApi，但异步导出创建任务时只传 filters，不传 ids,"handleSyncExport: { ids: props.selectedIds.length > 0 ? props.selectedIds : undefined, filters: props.filters }; handleAsyncExport: { filters: props.filters }",用户选择‘导出选中项’后若切到异步导出，后台任务会退化成导出全量/按 filters 导出，结果与 UI 选择不一致,让 createAsyncExportTaskApi 与同步导出保持同一参数契约，透传 selectedIds,,小,是,后端部分支持待契约对齐,2026-03-06_14-35-42-project-audit-third-pass.csv;2026-03-06_14-43-17-project-audit-fourth-pass.csv
按钮权限,src/router/utils/permission.ts,10,AUTH,按钮级权限未接入用户 permissions,P1,高,hasAuth 只读取当前路由 meta.auths，不读取用户权限状态,return router.currentRoute.value.meta.auths as Array<string>,权限配置页维护的按钮权限与实际鉴权脱节，容易出现“配置了但不生效”,让按钮鉴权以用户 permissions 为准，route meta 仅作声明,统一 permission resolver,中,是,后端已支持待前端接入,2026-03-06_14-22-37-project-audit.csv
支付账户,src/views/business/payment/index.vue,92,LOGIC,分页控件存在但每次都拉全量/同一数据,P1,高,getPaymentListInfo 只按 companyUid 调 getPaymentListApi，handleCurrentChange 仅更新 currentPage 后重调同一接口,"const { data, code, msg } = await getPaymentListApi(companyUid);",用户翻页没有真实效果，总数与页码容易误导,接入后端分页或移除该页面的伪分页 UI,,中,是,后端部分支持待契约对齐,2026-03-06_14-22-37-project-audit.csv
数据持久化,src/api/data/customer-product-code.ts; src/api/data/initial-stock.ts; src/api/data/price-limit.ts; src/api/data/price-rule.ts,24;12;8;5,LOGIC,业务数据仍存储在 localStorage,P1,高,除首轮发现的 priceInfo 外，客户商品编码、期初库存、价格限制、价格规则也都直接读写 localStorage，且暴露为 API 层实现,"readAll()/writeAll() 或 localStorage.setItem(STORAGE_KEY, JSON.stringify(...)) 出现在多个 data API 中",这些数据无法跨设备共享、无法审计、无法做权限控制，浏览器清缓存即丢失，还可能被客户端篡改,把业务数据迁移到后端 API；本地仅缓存偏好设置，不承载业务主数据,,大,是,后端缺失待后端实施,2026-03-06_14-30-06-project-audit-second-pass.csv
本地数据隔离,src/api/data/price-rule.ts; src/api/data/price-limit.ts; src/api/data/initial-stock.ts; src/api/data/customer-product-code.ts; src/views/data/priceInfo/index.vue,6;10;12;29;111,AUTH,本地持久化业务数据未按公司或用户隔离，存在同端串数据风险,P1,高,多处本地存储型业务 API 都使用固定全局 key，如 `data:price-rule`、`data:price-limit`、`data:initial-stock`、`data:customer-product-code`、`data:price-info:extra`，完全不带 uid/companyId 作用域。,price-rule.ts 6、price-limit.ts 10、initial-stock.ts 12、customer-product-code.ts 29、priceInfo/index.vue 111 都定义为固定 STORAGE_KEY/EXTRA_STORAGE_KEY。,同一浏览器切换账号或公司后，旧公司的价格规则、期初库存、客户编码等会被新会话直接读到，形成租户串数据和误操作。,本地兜底数据至少按 uid/companyId 作用域分桶；更稳妥的是将业务主数据迁回后端，只把纯界面偏好留在浏览器。,scopedLocalRepository,中,是,后端缺失待后端实施,2026-03-06_15-05-32-project-audit-expanded-pass-2.csv
核销单,src/views/fund/writeOff/index.vue,53,LOGIC,pageSize 变更不参与查询,P1,高,查询参数只组装 index/currentPage，没有 pageSize；页面却暴露 page-size-change 能力,"const params = { ...queryForm, index: pagination.currentPage };",切换每页条数不生效，测试与用户感知会错位,把 pageSize 透传到接口或取消页面容量切换,,小,是,后端部分支持待契约对齐,2026-03-06_14-22-37-project-audit.csv
登录公司上下文,src/store/modules/company.ts; src/views/login/index.vue; src/views/login/components/phone.vue; src/views/login/components/qrCode.vue,38;44;50;115;43;120,LOGIC,多公司账号登录后可能不设置当前公司，却继续进入业务页,P1,高,handleCurrentCompany 只有在返回公司数恰好为 1 时才写入 current-company；而密码/手机/扫码/GitHub 登录成功后都直接调用它并继续跳转，没有等待用户完成公司选择。,company.ts 44-50 仅单公司分支 setCurrentCompany；login/index.vue 115、phone.vue 43-46、qrCode.vue 120-122 在登录成功后立即调用 handleCurrentCompany 并继续 addPathMatch/router.push。,多公司账号进入系统后 companyId 可能为空或沿用旧值，后续依赖 getCompanyId 的接口会查错公司、报错或把数据写到错误上下文。,把“获取公司列表”和“确定当前公司”拆成显式两步；登录成功后若返回多公司，先进入公司选择流程，完成确定后再初始化路由。,postLoginCompanyResolver,中,是,后端已支持待前端接入,2026-03-06_15-05-32-project-audit-expanded-pass-2.csv
盘点流程,src/views/business/stockTaking/index.vue; src/views/business/stockTaking/composables/useStockTakingTasks.ts; src/router/modules/auth.ts,82;93;103;114;187;198;210;221;528;529;531,DEAD,盘点结果“生成盘盈/盘亏单”跳转到不存在的业务路由,P1,高,快速盘点和任务盘点都会把数据写入 sessionStorage 后跳转到 `/business/surplus` 与 `/business/waste`，但当前路由声明中只存在 `/business/stockTaking`，没有对应承接页面。,stockTaking/index.vue 82-114 与 useStockTakingTasks.ts 187-221 都 push 到 `/business/surplus`、`/business/waste`；auth.ts 528-531 仅声明 stockTaking 路由，全文无 surplus/waste 路由。,用户点击生成盘盈/盘亏单会直接落到 404 或空白路径，盘点成果无法闭环，sessionStorage 中暂存的数据也变成悬空状态。,补齐盘盈/盘亏单承接路由与页面；若尚未实现，先隐藏入口或改成明确禁用态，避免把临时数据写入无法消费的会话存储。,stockTakingTransferBridge,中,是,后端已支持待前端接入,2026-03-06_15-05-32-project-audit-expanded-pass-2.csv
空闲调度,src/composables/useIdleLoad.ts,118;127;141;148,RESILIENCE,useIdleLoadBatch 的 fallback 取消逻辑失效,P1,高,不支持 requestIdleCallback 时，批量任务通过 setTimeout 串行调度，但 composable 既不保存 timeout 句柄，也没有 cancelled 标记；cancel/onUnmounted 只会取消 idleCallback 分支，fallback 分支卸载后仍会继续执行后续任务。,"useIdleLoadBatch 仅维护 idleCallbackId；fallback 分支直接 setTimeout(async () => { await task(); executeNext(); }, 50)；cancel() 只调用 cancelIdleCallback。",低版本浏览器或测试环境中，组件卸载后仍可能继续跑非关键任务，造成额外请求、状态回写或定时器泄漏。,为 fallback 分支保存 timeoutId 并引入 cancelled 标记；执行 task 前后都检查取消状态；onUnmounted 时统一清理。,createCancelableIdleQueue,小,否,已实施待验证,2026-03-06_15-04-09-project-audit-expanded-pass-2.csv;2026-03-06_15-05-32-project-audit-expanded-pass-2.csv
第三方登录,src/views/login/index.vue,113,AUTH,新会话可能复用旧的本地角色身份,P1,高,GitHub 登录只调用 setToken({ accessToken })，而 setToken 在缺失 username/roles 时会回退到旧 localStorage 数据,setToken({ accessToken });,新 accessToken 可能配上旧 uid/roles 渲染 UI，导致前端授权与真实会话错配,第三方登录成功后先拉取可信用户信息，再写入本地会话,,中,是,后端已支持待前端接入,2026-03-06_14-22-37-project-audit.csv
类型系统,types/shims-vue.d.ts,3,TYPE,全局组件声明过宽,P1,高,"所有 .vue 组件被声明为 DefineComponent<{}, {}, any>，仓库级削弱 props/emit/slot 类型检查","const component: DefineComponent<{}, {}, any>",SFC 导入退化为 any，隐藏真实类型错误,改为不含 any 的 Vue SFC 声明，保留组件推断能力,,小,否,已实施待验证,2026-03-06_14-22-37-project-audit.csv
菜单 iframe,src/views/system/menu/form.vue; src/router/utils/dynamic.ts; src/layout/frameView.vue,123;133;256;103,AUTH,后台可配置 frameSrc 会以无 sandbox 的 iframe 直接渲染,P1,高,系统菜单表单允许录入任意 iframe/外链地址，动态路由遇到 meta.frameSrc 就切到 FrameView，而 FrameView 渲染的 iframe 没有 sandbox、referrerpolicy 或 allow 白名单。,"menu/form.vue 123-139 直接接收 frameSrc；dynamic.ts 256-257 检测到 frameSrc 即使用 IFrame；frameView.vue 103 直接 `<iframe :src=""frameSrc"" />`。",一旦菜单配置被误配或被高权限账号植入恶意 URL，外部页面即可在应用壳内获得完整 iframe 能力，包括顶层跳转、脚本执行、Referrer 泄露等。,限制 frameSrc 仅允许可信域名白名单；默认加 sandbox/referrerpolicy，必要能力按需放开；外链和 iframe 分开建模，不要共用一个自由文本字段。,trustedFrameSrcPolicy,中,是,后端部分支持待契约对齐,2026-03-06_15-05-32-project-audit-expanded-pass-2.csv
菜单权限,src/router/utils/filter.ts,105,AUTH,角色来源完全信任 localStorage,P1,高,菜单过滤直接从 localStorage 的 user-info.roles 读取角色,storageLocal().getItem<DataInfo<number>>(userKey)?.roles ?? [],本地角色被篡改后会影响菜单与前端可达路由，形成误导性授权,启动后从可信后端态回填角色，本地仅作缓存且不作为授权事实来源,,中,是,后端已支持待前端接入,2026-03-06_14-22-37-project-audit.csv
订单表单,src/composables/useOrderForm.ts,150,TYPE,泛型订单明细通过 unknown 强转写入,P1,高,useOrderForm 通过 as T 和 as unknown as OrderFormData<T> 操作 details/count/total，泛型约束失真,(formData as unknown as OrderFormData<T>).details.push(newDetail),表单模型一旦偏离预期结构，将在运行时污染明细和合计逻辑,为 T 增加真实约束，拆分订单头/明细泛型边界,OrderFormData 基础类型,中,否,已实施待验证,2026-03-06_14-22-37-project-audit.csv
认证存储,src/utils/auth.ts,156,AUTH,Bearer 模式 token 仍落在 JS 可读存储,P1,高,accessToken 写入 Cookie、refreshToken 写入 sessionStorage，均可被 XSS 读取,"Cookies.set(TokenKey, cookieString, ...); sessionStorage.setItem(refreshTokenKey, refreshToken);",一旦存在 XSS，访问/刷新令牌可直接被窃取,优先完成 HttpOnly Cookie 迁移，并把当前 Bearer 模式标记为过渡方案,,大,是,后端部分支持待契约对齐,2026-03-06_14-22-37-project-audit.csv
设置表单,src/composables/useSettingsForm.ts,54,LOGIC,0 值被错误保留为字符串,P1,高,默认设置加载逻辑用 Number(val) || val 做类型转换，导致字符串 '0' 转换后仍回退为原字符串 '0',val === 'true' ? true : val === 'false' ? false : Number(val) || val,像 quantityDecimals/priceDecimals/amountDecimals 这类配置在值为 0 时会从 number 漂移成 string，影响表单绑定、比较和后续保存一致性,改成显式 number 判定（如 Number.isNaN）而不是用 truthy/falsy 兜底,,小,否,已实施待验证,2026-03-06_14-30-06-project-audit-second-pass.csv
路由守卫,src/router/index.ts,141,LOGIC,路由初始化逻辑重复实现两套,P1,高,beforeEach 先调用 handleRouterInit，后面又在刷新分支重复 import initRouter 并自带另一套错误处理,"handleRouterInit(...); if (!_from?.name) { import(\./utils/cache\"").then(...) }""",初始化路径分叉，后续修复很容易只改一处造成行为漂移,保留单一初始化入口和统一失败策略,,中,否,已实施待验证,2026-03-06_14-22-37-project-audit.csv
运行时配置,src/main.ts; src/config/index.ts; src/router/utils/cache.ts,42;46;50;96;90;117;36,CONFIG,platform-config 在首屏挂载后才生效，启动期配置会先按默认值执行,P1,高,应用先用 bootConfig 注入并安装 router/store，再等待 getPlatformConfig 异步拉取远端配置；而路由初始化已在此之前读取 getConfig().CachingAsyncRoutes 等启动期开关。首次打开时，标题、布局、异步路由缓存、响应式存储命名空间等都会先按默认值/旧缓存运行一轮。,main.ts 42-48 先 injectResponsiveStorage/setupStore/app.use(router)，50-52 即 mount；96-97 才异步拉 getPlatformConfig。cache.ts 36-39 在 initRouter 启动时直接读取 getConfig().CachingAsyncRoutes。,platform-config.json 无法稳定控制首次进入行为；部署后用户首屏可能出现菜单/标题/缓存策略与配置文件不一致，常见表现是首刷和二刷行为不同。,把平台配置拉取前移到 router/store 初始化之前，至少对启动期强依赖配置（Title/CachingAsyncRoutes/ResponsiveStorageNameSpace）采用 await 预加载；或把这些开关改成纯构建时配置。,bootstrapPlatformConfig,中,否,已实施待验证,2026-03-06_15-05-32-project-audit-expanded-pass-2.csv
运行时配置,src/main.ts; src/config/index.ts; src/store/modules/app.ts,44;96;117;15;25;53;70,STATE,ResponsiveStorageNameSpace 迟到变更会把读取和写入分裂到两套命名空间,P1,高,responsive 存储在 main.ts 启动时按 bootConfig 注入，但 getConfig() 会在远端配置回来后切换 ResponsiveStorageNameSpace。useAppStore 等模块初始化时按旧命名空间读取，后续 toggleSideBar 等动作却会按新命名空间写入。,main.ts 44 用 bootConfig 调 injectResponsiveStorage；config.ts 117 的 responsiveStorageNameSpace 始终读取当前 getConfig()；app.ts 15/25/53/70 多次动态拼接 `${responsiveStorageNameSpace()}layout`。,远端若调整命名空间，用户会出现“启动读旧值、交互写新值”的分裂状态，导致侧边栏/布局/主题在一次会话内前后不一致。,启动期锁定一份 storage namespace 并在全局复用；若需迁移命名空间，显式做旧键迁移而不是运行时切换读取源。,resolvedStorageNamespace,中,否,已实施待验证,2026-03-06_15-05-32-project-audit-expanded-pass-2.csv
选项缓存,src/store/modules/options.ts; src/composables/useOrderListPage.ts,87;88;145;146;167,STATE,ensureLoaded 在并发场景下无法等待首个加载完成,P1,高,options store 用 isLoading 短路并发 loadAll，但没有复用首个 Promise。第二个调用者 await ensureLoaded() 时会立刻返回，而不是等首个加载完成。,loadAll() 在 isLoading 时直接 return；ensureLoaded() 仅在 !isLoading 时 await loadAll()；useOrderListPage.loadSelectData() 明确 await optionsStore.ensureLoaded()。,依赖 await 的调用方会在下拉数据尚未就绪时继续执行，形成“已等待但仍为空”的竞态，首屏或切页时容易出现选项短暂缺失。,把正在进行的加载 Promise 挂到 store 级别并复用；ensureLoaded 始终返回同一个 inflight Promise，完成后再清空。,useSharedAsyncLoader,小,否,已实施待验证,2026-03-06_15-04-09-project-audit-expanded-pass-2.csv
配置,src/config/index.ts,68,TYPE,泛型配置读取会伪造类型,P1,高,getConfig<T>(key?) 对任意 key 直接返回 data as T，缺少空值与键级类型约束,return data as T; return config as unknown as T;,调用方可请求任意类型，编译通过但运行期可能拿到 null/错误结构,改成键控返回类型或 unknown/null 安全返回,Typed config accessor,中,否,已实施待验证,2026-03-06_14-22-37-project-audit.csv
公司上下文,src/utils/auth.ts; src/store/modules/user.ts; src/store/modules/company.ts; src/api/company.ts,195;101;8;8,STATE,登出不会清空 current-company，后续会话可能继承旧公司作用域,P1,中,removeToken/logOut 只清 token 与 user-info，不清 current-company；而 company store 初始化和大量 API 默认参数都直接读取持久化 companyId。,removeToken() 未 remove current-company；logOut() 未重置 company store；useCurrentCompanyStore 直接从 current-company 初始化；getCompanyId() 直接返回 store.companyId。,退出后切换账号、或登录后公司上下文尚未重新同步时，首批接口可能带上旧 companyId，形成跨会话作用域漂移。,把 current-company 纳入 removeToken/logOut 清理范围，并提供 company store 的 $reset/clear；依赖 companyId 的页面在上下文未初始化前阻塞请求。,clearSessionScope,小,否,已实施待验证,2026-03-06_15-04-09-project-audit-expanded-pass-2.csv
订单弹框,src/views/business/order/table.tsx,163,LOGIC,单个 beforeSure 承担多业务动作分支,P1,高,同一弹框提交逻辑处理新增/审核/付款/收款/物流/状态/到货等多种 title 分支，并重复构造 connect/company 数据,"if (title === ""新增"") ... else if ([""审核"",""修改"",...].includes(title)) ...",业务耦合过深，任何动作改动都容易波及其他分支,拆为 action-specific handlers 或 useOrderActionDialog,useOrderActionDialog,大,否,待实施,2026-03-06_14-22-37-project-audit.csv
IO 工具页,src/views/tools/io/index.vue,76,REUSE,useIoBarcode 抽象已存在但页面完全未复用,P2,高,仓库已有 src/composables/useIoBarcode.ts，但 tools/io 页面又手写了一整套 barcodeForm/barcodeImage/generateBarcode/downloadBarcode/handleScan,rg 结果仅定义 useIoBarcode，无任何消费方；tools/io/index.vue:76-155 为重复实现,同一条码逻辑的校验、下载与 URL 生命周期修复要改两处，且当前两处都存在同样的 URL 回收缺口,让 tools/io 页面改用 useIoBarcode，把条码逻辑收敛到单一来源,useIoBarcode,小,否,已实施待验证,2026-03-06_14-35-21-project-audit-third-pass.csv
