模块,文件路径,行号,审计维度,问题类型,优先级,置信度,问题描述,代码证据,影响,建议方案,可复用抽象,工作量估算,是否需后端配合,状态,来源批次
入口资源,src/main.ts; src/assets/iconfont/iconfont.js,27;19,RESILIENCE,应用启动执行带 document.write/innerHTML 的第三方图标脚本,P2,高,main.ts 直接导入 iconfont.js，而该脚本在运行时使用 document.write 注入 style，并通过 innerHTML 注入整段 SVG,main.ts: import './assets/iconfont/iconfont.js'; iconfont.js: document.write(...); c.innerHTML = e._iconfont_svg_string...,启动阶段引入同步 DOM 注入和老式脚本模式，增加 CSP/SSR/安全审计负担，也让入口资源更脆弱,优先改成 SVG sprite 静态文件或组件化图标方案，移除 document.write/innerHTML 依赖,统一 Icon Registry,中,否,已实施待验证,2026-03-06_14-42-51-project-audit-expanded-pass.csv
公司关联,src/views/company/repo/table.tsx; src/views/company/department/table.tsx; src/views/business/tire/table.tsx 等,87;76;130,REUSE,getCompanyId + company.connect 组包模式重复散落,P2,高,多个模块在 create/update 时重复拼 company: { connect: { uid: getCompanyId() } },仓库/部门/轮胎/客户/供应商/订单等均有相同模式,公司关联规则分散，未来字段变更需全仓同步修改,在 API 层或 builder 层统一封装公司关联 payload,createWithCompany / withCompanyConnect,中,否,已实施待验证,2026-03-06_14-22-37-project-audit.csv
其他出库,src/views/inventory/otherOutbound/index.vue,77,REUSE,页面手写列表/搜索/弹框流程与现有 composable 高度重复,P2,高,该页手动维护 dataList/loading/pagination/search/reset/currentChange/openDialog/CRUD,const fetchData = async () => { ... }; const handleSearch = ...; const openDialog = ...;,同类页面行为难统一，后续 bug 修复需多处复制,迁移到 useCrud + useFormDialog / useActionFormDialog 组合,列表页标准模板,中,否,已实施待验证,2026-03-06_14-22-37-project-audit.csv
列表抽象,src/composables/useOrderListPage.ts,182,TYPE,列表返回类型被放宽为多种不兼容形态,P2,高,"listApi 返回被断言为 {list,count} | T[] | undefined，多协议被同一分支吞掉",const data = res.data as | { list?: T[]; count?: number } | T[] | undefined;,后端协议漂移会静默降级为空列表/错误总数，而不是暴露类型错误,为每个列表 API 固定一个响应契约，在 API 层统一归一化,统一 PaginatedResponse 适配层,中,否,已实施待验证,2026-03-06_14-22-37-project-audit.csv
备份下载,src/views/settings/backup/index.vue,240,AUTH,直接打开后端返回下载链接且无安全约束,P2,高,"downloadBackup 直接取后端返回的 url 并执行 window.open(downloadUrl, '_blank')，未校验协议/域名，也未显式设置 noopener","const downloadUrl = typeof data === 'string' ? data : (data as { url?: string }).url; window.open(downloadUrl, '_blank');",若返回恶意或异常 URL，可能引入 opener 污染、跳转劫持，且下载链路不可控,"使用统一 download 工具并限制同源/白名单域名；若必须新开页，确保 noopener,noreferrer",,中,是,后端部分支持待契约对齐,2026-03-06_14-30-06-project-audit-second-pass.csv
客户管理,src/views/business/customer/table.tsx,135,LOGIC,新增客户对期初欠款采用“先传给后端试试”的推测式协议,P2,高,代码注释明确写明 initialBalance 如果后端不支持会报错，说明前后端契约未被收敛,// 这里仅传递给后端，看后端如何处理。如果不支持会报错。,上线后容易出现创建客户失败或脏字段被忽略，且问题难定位,明确 customer create 契约：前端改为显式字段映射，或拆出专用期初余额接口,,中,是,后端部分支持待契约对齐,2026-03-06_14-22-37-project-audit.csv
异步导出,src/composables/useImportExport.ts,245,LOGIC,异步导出轮询缺少组件卸载清理,P2,高,handleAsyncExport 在函数作用域内创建 interval，但 composable 没有 onUnmounted/onScopeDispose 清理；页面离开时轮询仍可继续执行,let checkInterval: number | null = null; ... window.setInterval(...)；文件内无 onUnmounted/onScopeDispose 清理,组件销毁后仍可能继续请求状态接口、触发 message 或修改已卸载页面状态，造成前端泄漏与后台噪音,把 interval 提升到 composable 生命周期内管理，并在 onUnmounted/onScopeDispose 中统一 stop；如供页面复用可收敛为 useAsyncExportPolling,useAsyncExportPolling,小,否,已实施待验证,2026-03-06_14-35-21-project-audit-third-pass.csv;2026-03-06_14-35-42-project-audit-third-pass.csv
导入导出页,src/views/data/importExport/index.vue,41,REUSE,页面重复实现任务存储逻辑绕过现有 composable,P2,高,data/importExport 页面自己维护 TASK_STORAGE_KEY/readTasks/writeTasks/pushTask，而仓库已有 src/composables/useImportExport.ts 提供同名能力与 TTL/裁剪逻辑,index.vue:41-63 自行实现；src/composables/useImportExport.ts:23-74 已存在 useImportExportTask,任务历史规则出现双份实现，后续修复 TTL/上限/异常处理时容易发生一处修、一处漏,改用 useImportExportTask，删除页面内重复实现,useImportExportTask,小,否,已实施待验证,2026-03-06_14-30-06-project-audit-second-pass.csv
导入导出页,src/views/data/importExport/index.vue,111;245,LOGIC,导出字段配置被写死为商品字段且未随模块切换,P2,高,exportFields 固定为 id/name/group/brand/pattern/purchasePrice/salePrice/desc，不区分 customer/provider/initialStock 等模块,"const exportFields = ref([{ name:'id' ... }, { name:'group' ... }, { name:'brand' ... } ...]); handleExport 始终把 selectedFieldNames 作为 filters.fields 发送",切换导出模块后仍发送商品字段，轻则字段无效，重则导出结果缺列/报错，前后端契约被 UI 误导,按模块生成字段配置，或由后端返回可导出字段元数据,useExportFieldSchema,中,是,后端部分支持待契约对齐,2026-03-06_14-42-51-project-audit-expanded-pass.csv;2026-03-06_14-43-17-project-audit-fourth-pass.csv
导入导出页,src/views/data/importExport/index.vue,271;290;497,LOGIC,任务历史“下载”按钮是死路径,P2,高,任务行存在 downloadUrl 时会显示下载按钮，但 handleDownload 无论传入什么任务都只提示‘该任务无可下载文件’,template: v-if='row.downloadUrl' 显示下载按钮；handleDownload(row) 仅 message('该任务无可下载文件'),任务历史看起来支持二次下载，实际上永远不可用，破坏历史任务闭环,让 handleDownload 真正使用 row.downloadUrl / row.taskId 下载，或在未实现前不要展示按钮,,小,否,已实施待验证,2026-03-06_14-42-51-project-audit-expanded-pass.csv;2026-03-06_14-43-17-project-audit-fourth-pass.csv
导出弹窗,src/components/ImportExport/ExportDialog.vue,89;164,LOGIC,异步轮询定时器缺少卸载清理,P2,高,组件只在 handleClose 或 dialogVisible 变 false 时 stopCheckTask，没有 onUnmounted 清理；若页面切换时组件直接卸载，interval 仍会继续轮询,startCheckTask() 使用 window.setInterval；文件内无 onUnmounted(stopCheckTask),路由切换或父组件销毁后仍可能继续请求任务状态，造成后台噪音和内存泄漏,在 onUnmounted 中统一 stopCheckTask，并把轮询生命周期封装进 composable,useAsyncPolling,小,否,已实施待验证,2026-03-06_14-35-42-project-audit-third-pass.csv;2026-03-06_14-43-17-project-audit-fourth-pass.csv
导出抽象,src/composables/useImportExport.ts; src/components/ImportExport/ExportDialog.vue; src/views/tools/io/index.vue,235;67;49,REUSE,异步导出流程被实现成三套并已出现能力漂移,P2,高,仓库同时存在 composable 轮询、ExportDialog 轮询、Io 工具页手工查询/下载三种异步导出实现，且只有 ExportDialog 自带显式 stopCheckTask,useImportExport.handleAsyncExport；ExportDialog.startCheckTask/stopCheckTask；tools/io.checkTask,后续修复超时、清理、提示文案、任务状态映射时容易三处不一致，形成假抽象,收敛为单一异步导出状态机，组件只消费统一 composable 或统一组件能力,useAsyncExportTask,中,否,已实施待验证,2026-03-06_14-35-21-project-audit-third-pass.csv
库存报表,src/views/inventory/report/index.vue,87,LOGIC,仓库筛选只加载第一页仓库选项,P2,高,"loadRepos 固定调用 getRepoListApi(1,{})，直接用 data.list 作为筛选源","const { data, code } = await getRepoListApi(1, {});",仓库数量超出默认分页时，后续仓库永远无法被筛选到,提供全量 options API 或显式请求足够大分页,,小,是,后端已支持待前端接入,2026-03-06_14-22-37-project-audit.csv
异步导出,src/composables/useImportExport.ts,262,LOGIC,异步导出轮询没有超时或最大重试边界,P2,高,handleAsyncExport 对 processing 状态只持续 setInterval 轮询，没有 timeout/max attempts/兜底失败态,"checkInterval = window.setInterval(async () => { ... if (statusData?.status === 'completed'|'failed') ... }, 3000)",任务若长期卡在 processing，会让 loading 与轮询长期悬挂，页面状态不确定且持续占用资源,增加最大轮询时长/次数，到达阈值后停止轮询并提示用户稍后重试或去任务中心查看,,小,否,已实施待验证,2026-03-06_14-35-21-project-audit-third-pass.csv;2026-03-06_14-35-42-project-audit-third-pass.csv;2026-03-06_14-43-17-project-audit-fourth-pass.csv
弹框抽象,src/composables/useFormDialog.ts; src/composables/useActionFormDialog.ts,1;1,REUSE,弹框抽象重复演化未收敛,P2,高,两个 composable 都包裹 addDialog、表单 ref、校验、提交回调与刷新逻辑，但约定不一致,useFormDialog + useActionFormDialog 均封装 addDialog,页面仍持续手写自定义 addDialog，复用边际下降,收敛成单一表单弹框抽象，按 mode/action 扩展,统一 FormDialog abstraction,中,否,已实施待验证,2026-03-06_14-22-37-project-audit.csv
授权负载,src/utils/auth.ts,169,AUTH,持久化用户信息时丢失 permissions/avatar/nickname,P2,高,setUserKey 只保存 expires/username/roles/uid，DataInfo 中的 permissions/avatar/nickname 未持久化,"storageLocal().setItem(userKey, { expires, username, roles, uid });",刷新后按钮权限与展示态容易漂移，也加剧 permissions 形同虚设,持久化与刷新同一份授权负载，或删除未真正使用的权限字段,,小,否,已实施待验证,2026-03-06_14-22-37-project-audit.csv
文档中心,src/views/fund/documents/index.vue; src/views/purchase/documents/index.vue; src/views/sales/documents/index.vue,223;226;210,UX,聚合文档页暴露的关键操作仍是占位实现,P2,高,资金单据页的打印/导出/导入，采购单据页的批量审核/导出，销售单据页的批量审核/导出都只是 message('开发中'),fund/documents: handlePrint/handleExport/handleImport；purchase/documents: handleBatchApprove/handleExport；sales/documents: handleBatchApprove/handleExport,这些页面是业务汇总入口，但用户点击关键动作得不到真实行为，易误判系统能力边界,未实现前隐藏按钮或显式标注 Beta/占位；实现后接到真实批量 API,,中,是,后端缺失待后端实施,2026-03-06_14-42-51-project-audit-expanded-pass.csv
权限指令,src/directives/auth/index.ts,35,AUTH,默认仅隐藏未授权 DOM 而不移除,P2,高,v-auth 默认分支只设置 display:none，节点仍保留在 DOM 中,"el.style.display = \none\"";""",敏感按钮/文案仍可被审查工具看到，不适合高敏权限场景,敏感控件统一改用 remove 模式，或默认 remove、显式选择 hide,,小,否,已实施待验证,2026-03-06_14-22-37-project-audit.csv
条码工具,src/composables/useIoBarcode.ts,47,LOGIC,条码预览 createObjectURL 未在替换或卸载时回收,P2,高,每次生成条码都直接覆盖 barcodeImage 为新的 object URL，但没有 revoke 上一个 URL，也没有在 composable 生命周期结束时清理,barcodeImage.value = window.URL.createObjectURL(blob),重复生成条码会累积 blob URL，占用内存，长时间使用工具页时更明显,在生成新 URL 前 revoke 旧值，并在 onUnmounted/onScopeDispose 时统一清理,,小,否,已实施待验证,2026-03-06_14-35-21-project-audit-third-pass.csv
条码工具,src/composables/useIoBarcode.ts; src/views/tools/io/index.vue,47;115,LOGIC,生成条码后的 blob URL 从不释放,P2,高,每次生成条码都执行 URL.createObjectURL(blob) 覆盖 barcodeImage，但未在重新生成、下载后或组件卸载时 revoke,barcodeImage.value = window.URL.createObjectURL(blob); 文件内无 revokeObjectURL(barcodeImage.value),频繁生成条码会持续占用浏览器内存，长时间使用工具页会逐步泄漏,在覆盖旧 URL、下载结束或 onUnmounted 时调用 URL.revokeObjectURL；抽成共享 composable 避免两套实现继续漂移,useBarcodeObjectUrl,小,否,已实施待验证,2026-03-06_14-35-42-project-audit-third-pass.csv;2026-03-06_14-43-17-project-audit-fourth-pass.csv
标签页状态,src/store/modules/multiTags.ts,150;157;162;166,LOGIC,多标签去重把 path/query/params 分开判断导致误判重复,P2,高,"handleTags(""push"") 分别用 some() 判断 path、query、params 是否存在，只要三者分别在任意标签中出现过，就会把新标签误判为已存在，而不是比较同一条标签的完整身份。",tagHasExits、tagQueryHasExits、tagParamsHasExits 分别独立计算，最终只用 if (tagHasExits && tagQueryHasExits && tagParamsHasExits) return。,动态路由或带不同查询参数的详情页可能无法正确开出新标签，用户会遇到“点开后复用错页/打不开新页签”。,改为单次 some() 比较 path+query+params 的完整组合，或为标签生成稳定 identity key。,buildMultiTagIdentity,小,否,已实施待验证,2026-03-06_15-04-09-project-audit-expanded-pass-2.csv
登录判定,src/router/utils/routerGuard.ts,141,AUTH,已登录状态不校验真实 token 会话,P2,高,isAuthenticated 只检查 multiple-tabs cookie 与 user-info，本身不检查 authorized-token 或服务端会话状态,const authenticated = !!(Cookies.get(multipleTabsKey) && userInfo);,token 已失效时仍可能短暂展示受保护菜单与页面，直到首个 API 失败才被登出,把登录态判断绑定到可信 session/token 校验结果,,中,是,后端已支持待前端接入,2026-03-06_14-22-37-project-audit.csv
登录流程,src/views/login/components/register.vue; src/views/login/components/update.vue,61;52,DEAD,注册与密码修改仍是模拟成功流程,P2,高,两个登录相关组件都用 setTimeout 模拟请求并直接提示成功，没有接入真实 API,"await new Promise(resolve => setTimeout(resolve, 2000)); message('注册成功'/'密码修改成功')",用户能走到完整表单流程却不会产生真实后端效果，属于典型占位功能暴露,接入真实接口前应隐藏入口或明确标注占位状态,,中,是,后端已支持待前端接入,2026-03-06_14-43-17-project-audit-fourth-pass.csv
离线缓存,src/utils/localforage/index.ts,41;46;48,RESILIENCE,过期缓存命中后只返回 null 不清理底层记录,P2,高,localForage 包装层在发现缓存已过期时仅 resolve(null)，没有 removeItem 清理实际存储。,getItem() 中 value.expires 不满足条件时直接 resolve(null)，没有调用 this.storage.removeItem(k)。,过期数据会长期滞留 IndexedDB/localStorage，键数量和占用空间只增不减，后续 keys()/全量扫描也会混入历史垃圾数据。,在判定过期时同步或异步删除该键；必要时补一个定期 sweep 入口。,expiringStorageSweep,小,否,已实施待验证,2026-03-06_15-04-09-project-audit-expanded-pass-2.csv
财务模块,src/views/business/finance/statement/index.vue; src/views/business/finance/advance/index.vue,85;104,UX,菜单可达页面核心动作完全是“功能开发中”,P2,高,两个业务财务页面都已存在完整页面入口，但主要动作 handleAdd/handleDetail/handleDelete 仅弹提示，不执行任何业务逻辑,statement.handleAdd/handleDetail -> message('功能开发中'); advance.handleAdd/handleDelete -> message('功能开发中'),对外看起来像已交付模块，实际是空壳页面，影响产品可信度与验收边界,未准备好前从菜单移除或加上明显未开放标识；准备实施时先补最小闭环,,中,否,已实施待验证,2026-03-06_14-42-51-project-audit-expanded-pass.csv
资金下拉,src/views/fund/composables/useFundForm.ts,30;43;56,LOGIC,资金模块通用下拉只加载第一页且账户响应被强制断言,P2,高,供应商/客户下拉固定请求第 1 页且不带 pageSize，账户列表也直接把 res.data 断言为 SelectOption[],"getProviderListApi(1,{ keyword:'' }); getCustomerListApi(1,{ keyword:'' }); paymentList.value = (res.data as SelectOption[]) || []",供应商/客户多于默认分页时，后续项永远不会出现在资金表单；账户接口一旦改成分页结构会静默丢选项,提供专用 options API 或显式大 pageSize；账户接口在 API 层做数组/分页统一归一化,useOptions / useFundOptions,中,是,后端已支持待前端接入,2026-03-06_14-35-42-project-audit-third-pass.csv;2026-03-06_14-43-17-project-audit-fourth-pass.csv
资金页面,src/views/fund/otherIncome/index.vue; src/views/fund/otherExpense/index.vue; src/views/fund/payment/index.vue; src/views/fund/transfer/index.vue,176;173;173;183,LOGIC,核心操作按钮暴露但实际仅提示“开发中”,P2,高,收款/付款/打印/导出/关联等操作在页面中可见，但部分点击后只弹 message('开发中') 或‘请前往…’提示,otherIncome.handleReceive/handlePrint/handleExport；otherExpense.handlePay/handleLink/handlePrint/handleExport；payment/transfer 也存在打印导出占位,用户会误以为流程已可用，增加误操作和实施判断成本,未实现前隐藏按钮或明确标注占位；已实现前串联到真实页面/动作,,中,否,已实施待验证,2026-03-06_14-30-06-project-audit-second-pass.csv
通用 CRUD,src/composables/useCrud.ts,98,LOGIC,AbortController 只做表面取消未真正中断请求,P2,高,useCrud 创建并 abort 了 controller，但没有把 signal 传给 api(requestParams),const myController = new AbortController(); ... const res = await api(requestParams);,高频搜索/翻页会产生多余请求，服务端仍承压，前端只是在响应后忽略结果,把 signal 纳入 API 合约，或移除伪取消语义避免误导,,中,否,已实施待验证,2026-03-06_14-22-37-project-audit.csv
通用 CRUD,src/composables/useCrud.ts,98;101;104;118;158;160,RESILIENCE,AbortController 只取消本地标记，未真正中止请求且存在并发覆盖,P2,高,useCrud 在每次 fetchData 前 abort 上一个 controller，但 api(requestParams) 并未接收 signal，旧请求仍会实际发出；同时旧请求 finally 无条件把共享 abortController 置空，会覆盖新请求控制器。,创建了 myController 并写入 abortController，但调用是 await api(requestParams)；finally 中固定 abortController = null。,快速切页/筛选时网络请求不会被真正取消，卸载时也可能丢失最新请求的取消句柄，造成额外流量和资源占用。,把 signal 纳入 api 合约并透传到 http 层；同时只在 abortController === myController 时再清空，避免旧请求覆盖新控制器。,useAbortableRequest,中,否,已实施待验证,2026-03-06_15-04-09-project-audit-expanded-pass-2.csv
单点登录,src/utils/sso.ts,15,TYPE,SSO URL 参数被直接强转为完整 token 结构,P2,中,已按 URLSearchParams 做 payload 解析与校验并在成功写入后清理 URL 中 SSO 参数,utils/sso.ts 提供 parseSsoPayloadFromUrl removeSsoParamsFromUrl applySsoFromCurrentUrl 且 main.ts 调用 applySsoFromCurrentUrl,SSO 参数缺字段或类型不符时会把脏数据写入本地会话,先做 URL payload 解析与校验，再映射到 token 持久化结构,,中,是,已实施待验证,2026-03-06_14-22-37-project-audit.csv
类型基线,src/layout/index.vue; src/views/system/task/index.vue; src/views/system/notice/index.vue 等,32;170;205,TYPE,仓库仍存在成片 non-null assertion 警告,P2,中,第二轮静态检查运行 pnpm lint:eslint:check 后，仍有 31 条 warning，主要是 ! 非空断言分布在系统页、搜索组件、业务页中,ESLint 输出包含 Forbidden non-null assertion，涉及 layout/search/system/task/system/notice/system/user 等多处,这些断言会把真实的空值分支推迟到运行期，长期会削弱 strict 模式收益,按模块批量清理非空断言，改成可选链/显式 guard；至少先清系统管理高频页面,,中,否,已实施待验证,2026-03-06_14-30-06-project-audit-second-pass.csv
路由缓存,src/router/utils/cache.ts,39,AUTH,异步路由缓存未按用户/角色隔离,P2,中,async-routes 使用单一 localStorage key，logout 也未清理该缓存,"const key = \async-routes\"";""",同一浏览器切换用户时，旧路由定义可能短暂复用到新用户,按 uid/companyId/roles 作用域缓存，并在退出/切换身份时清理,,中,否,已实施待验证,2026-03-06_14-22-37-project-audit.csv
外链安全,src/layout/components/footer/index.vue; src/views/settings/push/index.vue,15;179,AUTH,target=_blank 缺少 rel=noopener,P3,高,至少两处外链使用 target='_blank' 却未设置 rel='noopener noreferrer',footer/index.vue 的 GitHub 链接；settings/push/index.vue 的 PushDeer 官网链接,虽然风险低于动态 URL，但仍存在反向标签页劫持面,统一为所有外链补 rel='noopener noreferrer'，或封装 ExternalLink 组件,ExternalLink,小,否,已实施待验证,2026-03-06_14-30-06-project-audit-second-pass.csv
打印工具,src/utils/print.ts,187,LOGIC,打印 iframe 在异常分支可能遗留在 DOM,P3,中,writeIframe 在 iframe.onload 中如果拿不到 contentWindow/contentDocument 会直接 return，未移除已 append 的 iframe,const doc = iframe.contentDocument ?? w?.document; if (!doc || !w) return;,低概率异常下会残留隐藏 iframe，长期堆积影响 DOM 清洁度，也增加后续调试成本,在 early return 前补充 remove iframe；统一用 finally 风格做清理,,小,否,已实施待验证,2026-03-06_14-35-21-project-audit-third-pass.csv
下载工具,src/utils/download.ts; src/composables/useImportExport.ts,78;214,REUSE,downloadFromRequest 暴露 onProgress 但实现永远不可能上报进度,P3,高,downloadFromRequest 接受 Promise<Blob> 和 onProgress 回调，但内部只 await 完成后的 blob 再下载，完全没有进度来源；调用方容易误以为可显示下载进度,"downloadFromRequest(... options?: { onProgress?: ... })；实现仅 const blob = await promise; downloadBlob(blob, ...)",形成误导性 API，后续接入进度条时会发现 contract 先天失效,删除 onProgress 选项，或把接口改成接受支持进度事件的请求函数而非 Promise<Blob>,downloadWithProgress,小,否,已实施待验证,2026-03-06_14-35-21-project-audit-third-pass.csv;2026-03-06_14-35-42-project-audit-third-pass.csv;2026-03-06_14-43-17-project-audit-fourth-pass.csv
导入导出页,src/views/data/importExport/index.vue,58;61;62,RESILIENCE,任务上限只写入存储不更新当前内存态,P3,高,"pushTask 会把 tasks.slice(0,200) 写回 localStorage，但把未裁剪的 tasks 直接赋给 taskList.value","writeTasks(tasks.slice(0, 200)); taskList.value = tasks;",当前会话中任务列表可能超过设计上限，刷新后又回落，导致 UI 与持久化状态短暂不一致,让内存态与落盘态使用同一份裁剪结果,,小,否,已实施待验证,2026-03-06_14-42-51-project-audit-expanded-pass.csv;2026-03-06_14-43-17-project-audit-fourth-pass.csv
扫码登录,src/views/login/components/qrCode.vue,50;63;68;75,DEAD,扫码登录会启动一个永远不执行真实检查的轮询器,P3,高,已移除 startPolling 与 interval 占位逻辑仅保留 URL 回调登录闭环,qrCode.vue 不再包含 startPolling 或 setInterval 轮询逻辑,登录页会产生无意义定时器和状态位，后续维护者容易误以为扫码流程已经具备轮询检查能力。,未接入状态检查前移除轮询逻辑；若未来需要轮询，补齐真实 API、超时和取消策略后再启用。,useQrLoginPolling,小,是,已实施待验证,2026-03-06_15-05-32-project-audit-expanded-pass-2.csv
登录组件,src/views/login/composables/useLoginForm.ts,136,TEST,生命周期绑定让 composable 在纯测试/非组件上下文中报警,P3,高,pnpm test 虽通过，但 useLoginForm.test 会输出 Vue warn：onUnmounted 在无活动组件实例时被调用，说明该 composable 不能稳定作为纯逻辑单元复用,useLoginForm 内直接 onUnmounted(() => { if (cleanupFn) cleanupFn(); })；测试日志出现 lifecycle injection warning,降低 composable 可测试性和复用边界，后续若被误用于组件外上下文会继续产生隐式副作用,把清理逻辑显式返回，或允许外部传入/注册销毁钩子而不是内部强绑生命周期,,小,否,已实施待验证,2026-03-06_14-43-17-project-audit-fourth-pass.csv
业务订单,src/views/business/order/index.vue,323,UX,操作按钮已展示但生成订单仍是占位,P3,高,采购计划列表中“生成订单”按钮已对用户可见，但点击只弹“功能开发中”,"@click=""message('功能开发中', { type: 'info' })""",用户会把占位按钮当成可用流程，影响业务培训和验收,未实现前隐藏按钮或改成禁用态并说明开放条件,,小,否,待实施,2026-03-06_14-42-51-project-audit-expanded-pass.csv
